address,sns,balance,rank
8r7ijtRdYhFmhMnJg499Yi92WHzpgJNN2tGik8g2Yfon,ego2.sol,6092.88903428,12
8r7ijtRdYhFmhMnJg499Yi92WHzpgJNN2tGik8g2Yfon,zombie-in-your.sol,6092.88903428,12
8r7ijtRdYhFmhMnJg499Yi92WHzpgJNN2tGik8g2Yfon,u8a.sol,6092.88903428,12
8r7ijtRdYhFmhMnJg499Yi92WHzpgJNN2tGik8g2Yfon,heartto.sol,6092.88903428,12
Db9HLpQPKa92XqRkvVJ8YCbkmA7n9NeWe8rvkWn7qCQd,famousfoxes.sol,5604.248851911,13
9xcdiyHfTx5AgqbRM1QZWserfGzUr5JRcquhP4XXtC2X,biomes.sol,4623.957179829,14
A1FzQ8jaqwYxzSkVpqVysuEK5cMU79sakgaLk6wkGGzm,madeleine-jane.sol,4079.239603612,15
A1FzQ8jaqwYxzSkVpqVysuEK5cMU79sakgaLk6wkGGzm,jordan-daniel.sol,4079.239603612,15
4ZfZ5o21vFZfpqz42gwXxQ2YP18Xz2NCnVyxS6r1TNSL,degendavinci.sol,4067.258615333,16
C6tYwQ9fE9Q1qTkcySgMN46mrFmDcfM5MUdcSFfZ6iEx,elduder.sol,4046.60891529,17
C6tYwQ9fE9Q1qTkcySgMN46mrFmDcfM5MUdcSFfZ6iEx,d00der.sol,4046.60891529,17
C6tYwQ9fE9Q1qTkcySgMN46mrFmDcfM5MUdcSFfZ6iEx,cleandeadgods.sol,4046.60891529,17
C6tYwQ9fE9Q1qTkcySgMN46mrFmDcfM5MUdcSFfZ6iEx,clean_af.sol,4046.60891529,17
C6tYwQ9fE9Q1qTkcySgMN46mrFmDcfM5MUdcSFfZ6iEx,cleandegods.sol,4046.60891529,17
6VrGJHzYnWwiMmkuqFejbA6A2evimde31AFRnATLMYQa,bigbank.sol,3798.858722091,18
6VrGJHzYnWwiMmkuqFejbA6A2evimde31AFRnATLMYQa,zach.sol,3798.858722091,18
6VrGJHzYnWwiMmkuqFejbA6A2evimde31AFRnATLMYQa,xfer.sol,3798.858722091,18
6VrGJHzYnWwiMmkuqFejbA6A2evimde31AFRnATLMYQa,zack.sol,3798.858722091,18
GxHamnPVxsBaWdbUSjR4C5izhMv2snriGyYtjCkAVzze,cogent_crypto.sol,3768.465311276,19
B987jRxFFnSBULwu6cXRKzUfKDDpyuhCGC58wVxct6Ez,shuang.sol,3236.023671016,20
B987jRxFFnSBULwu6cXRKzUfKDDpyuhCGC58wVxct6Ez,zhangshuang.sol,3236.023671016,20
B987jRxFFnSBULwu6cXRKzUfKDDpyuhCGC58wVxct6Ez,zhang.sol,3236.023671016,20
B987jRxFFnSBULwu6cXRKzUfKDDpyuhCGC58wVxct6Ez,armaniferrante.sol,3236.023671016,20
B987jRxFFnSBULwu6cXRKzUfKDDpyuhCGC58wVxct6Ez,armani.sol,3236.023671016,20
B987jRxFFnSBULwu6cXRKzUfKDDpyuhCGC58wVxct6Ez,⚓.sol,3236.023671016,20
577YmAHpRn5QhNLDEmadBJJLDQK9NJqneqbukUw3CTy,kvee.sol,2708.022320192,21
2MZCRip17fjjGd5XHRCxnXhLANQnEV1BvNLN8SLZJhC1,devnull.sol,2669.603139544,22
E1P849pXgy7Pkjms8q9XYATajtr6rH7EFf3vQw8wbhMV,samer.sol,2622.157766567,23
GK5k5riTuuSwSAE1HP5PHCsrFDBP8YoGivAwTzWPuRqE,tcbwallet.sol,2588.435678759,24
BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL,moneyboy0x.sol,2497.549163642,25
6KYqLgKobJzu6S1rt8j4uFEX9vi82rND8AtjHcaTwsib,stackedinvest.sol,2307.192276255,26
6KYqLgKobJzu6S1rt8j4uFEX9vi82rND8AtjHcaTwsib,cmfi.sol,2307.192276255,26
6KYqLgKobJzu6S1rt8j4uFEX9vi82rND8AtjHcaTwsib,compendiumfinance.sol,2307.192276255,26
6KYqLgKobJzu6S1rt8j4uFEX9vi82rND8AtjHcaTwsib,compendiumfi.sol,2307.192276255,26
6KYqLgKobJzu6S1rt8j4uFEX9vi82rND8AtjHcaTwsib,compendium.sol,2307.192276255,26
GqagXhTUMoxrWbu7pAAMZiYHBoSoJN3h5AUzQuvuMN3b,ttentertainment.sol,2304.630658969,27
DJZj7FYHJdaYXYwV7RCVvSVVvVHHUm2y79S3czftWSN9,kygomusic.sol,2284.268629454,28
DJZj7FYHJdaYXYwV7RCVvSVVvVHHUm2y79S3czftWSN9,blockchainbrett.sol,2284.268629454,28
DJZj7FYHJdaYXYwV7RCVvSVVvVHHUm2y79S3czftWSN9,palmtreecrew.sol,2284.268629454,28
DJZj7FYHJdaYXYwV7RCVvSVVvVHHUm2y79S3czftWSN9,managermyles.sol,2284.268629454,28
DJZj7FYHJdaYXYwV7RCVvSVVvVHHUm2y79S3czftWSN9,sunscreen.sol,2284.268629454,28
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,hfp.sol,2266.140690867,29
